"","Ensembl","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"8688","ENSMUSG00000035441",154.068144901148,0.108790542729369,0.195326149250204,0.556968655487153,0.577548845057385,0.925178362336359
"8689","ENSMUSG00000060438",146.194779240012,-0.121441832198532,0.218110915991346,-0.556789336501392,0.577671370389525,0.925178362336359
"8690","ENSMUSG00000071359",73.9703145308457,0.14142094460822,0.254066255322436,0.556630176757407,0.577780131534482,0.92524606564256
"8691","ENSMUSG00000026766",222.092366037593,-0.0985377392326573,0.177135153075592,-0.556285624404583,0.578015612949412,0.925514206942204
"8692","ENSMUSG00000027583",21.816229271594,0.283456860145926,0.50981818440433,0.555995978207635,0.578213604135924,0.925514206942204
"8693","ENSMUSG00000055128",113.874882869718,-0.118990183463169,0.213958934745069,-0.556135613616442,0.578118150669609,0.925514206942204
"8694","ENSMUSG00000107023",6.00949845793595,-0.478417973906443,0.860454721555343,-0.556005983721797,0.578206764213027,0.925514206942204
"8695","ENSMUSG00000032185",165.719033416477,0.105995347942143,0.190697014017556,0.555831188486175,0.57832626239002,0.925588069858484
"8696","ENSMUSG00000013736",111.511445721496,-0.128010624329429,0.230364660403913,-0.555686901389215,0.578424912528121,0.925639498935295
"8697","ENSMUSG00000007833",72.8017630529886,-0.152094010336116,0.274109916582888,-0.554865041849461,0.578986974677467,0.925793719362476
"8698","ENSMUSG00000029211",272.420310209251,0.0934180321050607,0.168239954781008,0.555266626329396,0.578712302714233,0.925793719362476
"8699","ENSMUSG00000032400",7.50610817699853,-0.427137728214579,0.769783330144476,-0.554880459848892,0.578976428089588,0.925793719362476
"8700","ENSMUSG00000037096",21.0248683864566,0.262763335786136,0.473560019508412,0.554868073658124,0.578984900780232,0.925793719362476
"8701","ENSMUSG00000058318",134.423854446048,-0.113449396900569,0.2043137905504,-0.555270383829443,0.578709732983948,0.925793719362476
"8702","ENSMUSG00000060152",138.420438224192,-0.116367667034016,0.209622628706171,-0.555129318586733,0.57880621028004,0.925793719362476
"8703","ENSMUSG00000096210",1286.28543393256,0.0841384034148335,0.151623295209339,0.554917391148028,0.578951165828005,0.925793719362476
"8704","ENSMUSG00000002900",309.061797730618,-0.092708399107278,0.168248325940038,-0.551021227636574,0.58161912288848,0.925964970294017
"8705","ENSMUSG00000004788",146.288801246753,-0.115988722110346,0.211939133647824,-0.547273738992829,0.584190682789312,0.925964970294017
"8706","ENSMUSG00000006435",9.8386816529747,-0.359317114877706,0.653234122573287,-0.550058704009899,0.582279109867801,0.925964970294017
"8707","ENSMUSG00000007415",317.687941228668,-0.0839137880851384,0.153395849189591,-0.547040800181134,0.584350702006471,0.925964970294017
"8708","ENSMUSG00000010057",40.5592503530715,-0.188758662548678,0.34339573154484,-0.549682611660623,0.582537085336046,0.925964970294017
"8709","ENSMUSG00000014554",63.1058597783361,-0.160854101309509,0.292025312564896,-0.550822460891169,0.581755385393672,0.925964970294017
"8710","ENSMUSG00000016319",2592.88270649796,0.0696778401384702,0.12645191075462,0.551022437879016,0.581618293264883,0.925964970294017
"8711","ENSMUSG00000016541",240.562702096483,0.0936991983602045,0.170999687972826,0.547949528276886,0.583726559279909,0.925964970294017
"8712","ENSMUSG00000017221",470.127805089755,-0.0774507827761657,0.140227939224513,-0.552320623154582,0.58072870343957,0.925964970294017
"8713","ENSMUSG00000018666",338.839555917864,-0.0837744769578844,0.152573361597638,-0.549076693864898,0.582952818641282,0.925964970294017
"8714","ENSMUSG00000019842",180.906885489928,-0.118192884108644,0.214118533220516,-0.551997448940676,0.58095010108461,0.925964970294017
"8715","ENSMUSG00000020019",56.2079099054409,-0.162516313075767,0.293957977549644,-0.55285559667562,0.580362294847775,0.925964970294017
"8716","ENSMUSG00000020116",120.526905567695,0.124344946554781,0.224579843310713,0.553678124989811,0.579799148563287,0.925964970294017
"8717","ENSMUSG00000020961",33.665439111682,-0.203405345175856,0.369246101377671,-0.550866602022183,0.581725123604835,0.925964970294017
"8718","ENSMUSG00000021186",96.1318046025639,-0.126711302924845,0.228715163282491,-0.554013564760206,0.579569562387525,0.925964970294017
"8719","ENSMUSG00000021880",8.38709388884963,-0.409224773873135,0.739493981694181,-0.553384860463098,0.579999903533635,0.925964970294017
"8720","ENSMUSG00000022091",453.298513878456,0.0840827893899742,0.15213440536844,0.552687534330858,0.580477390720286,0.925964970294017
"8721","ENSMUSG00000022971",252.293458296423,-0.0957103469330828,0.173957015000144,-0.550195385526727,0.582185368246416,0.925964970294017
"8722","ENSMUSG00000023143",51.1526716761602,0.176189901215635,0.319142156195974,0.552073418678802,0.580898052782949,0.925964970294017
"8723","ENSMUSG00000024667",15.7202514501314,0.292066934807166,0.530028293358141,0.551040271749826,0.581606068175167,0.925964970294017
"8724","ENSMUSG00000024922",19.9994333423998,0.251205515723621,0.454898830126143,0.552222822059054,0.58079570007482,0.925964970294017
"8725","ENSMUSG00000024925",65.2494382536007,-0.149930295347693,0.274070578834382,-0.547049945985973,0.584344418836574,0.925964970294017
"8726","ENSMUSG00000026073",8.56301238432152,-0.384422871205584,0.702052662011986,-0.547569850534975,0.58398729599658,0.925964970294017
"8727","ENSMUSG00000026098",6.71542025927884,0.436024384875695,0.794436864871775,0.548847119457468,0.583110370749704,0.925964970294017
"8728","ENSMUSG00000026388",10.3717400045948,-0.386233049976917,0.70084820940032,-0.551093724427715,0.581569427170253,0.925964970294017
"8729","ENSMUSG00000027412",22.8820776883813,-0.259765448407071,0.470576798051058,-0.552014994115553,0.58093808036026,0.925964970294017
"8730","ENSMUSG00000028040",10.5174324202405,0.350161042718481,0.636751007152919,0.549918317811766,0.582375399644151,0.925964970294017
"8731","ENSMUSG00000028099",146.222178046078,-0.117110600861413,0.212956188507366,-0.549928141005218,0.582368661752015,0.925964970294017
"8732","ENSMUSG00000028899",90.939742938051,-0.133978915136767,0.242311976970433,-0.552919078998372,0.580318822374985,0.925964970294017
"8733","ENSMUSG00000029122",30.9537310399254,0.210612318049519,0.384137371899372,0.548273439285909,0.583504162216204,0.925964970294017
"8734","ENSMUSG00000030275",3859.34180094966,0.0795932674084664,0.145030623377989,0.548803180698083,0.583140527263824,0.925964970294017
"8735","ENSMUSG00000031523",150.572309958326,-0.11550491697078,0.210749345505785,-0.548067737499138,0.583645392338363,0.925964970294017
"8736","ENSMUSG00000032216",3247.17339407116,0.065845654319086,0.119817060287563,0.549551576053153,0.582626979971824,0.925964970294017
"8737","ENSMUSG00000032377",21.335262494854,0.251999978927407,0.454390381506153,0.554589157658027,0.57917570681517,0.925964970294017
"8738","ENSMUSG00000032491",8.76621880803993,-0.405360026921499,0.733770534876776,-0.552434320614376,0.580650821874948,0.925964970294017
"8739","ENSMUSG00000033538",13.6946527299839,-0.304226506619679,0.5499122695244,-0.553227348214642,0.580107742390552,0.925964970294017
"8740","ENSMUSG00000033554",31.5490292989868,0.207292189473454,0.37528637645783,0.552357352883412,0.580703543426647,0.925964970294017
"8741","ENSMUSG00000033760",75.5491175240928,-0.159554465516835,0.288086441038813,-0.553842329203333,0.579686756389183,0.925964970294017
"8742","ENSMUSG00000034601",32.6345949004606,0.219582251582338,0.399009727648855,0.55031804080621,0.582101252377802,0.925964970294017
"8743","ENSMUSG00000035765",240.681514617278,-0.0937273830723759,0.170510966377109,-0.549685366658968,0.582535195388179,0.925964970294017
"8744","ENSMUSG00000037112",128.665078253603,0.11658005526178,0.210876487579625,0.55283572198992,0.580375905276711,0.925964970294017
"8745","ENSMUSG00000037815",800.815332716606,0.0790813288886692,0.142762173317317,0.55393755258191,0.579621583921906,0.925964970294017
"8746","ENSMUSG00000038217",9.56255871712349,-0.359285214611455,0.656108206955184,-0.547600549425829,0.58396621208222,0.925964970294017
"8747","ENSMUSG00000039585",178.886602674829,-0.114283547565913,0.208068731046496,-0.549258636754865,0.582827969151443,0.925964970294017
"8748","ENSMUSG00000040363",130.377327849078,-0.113352369078448,0.206259925249005,-0.549560797821511,0.582620653330739,0.925964970294017
"8749","ENSMUSG00000040412",1634.96788493325,-0.0738790178249342,0.134958445633644,-0.54742048545435,0.584089884582872,0.925964970294017
"8750","ENSMUSG00000040599",110.73701351302,0.119307036070369,0.217537113903173,0.548444511052368,0.583386720401253,0.925964970294017
"8751","ENSMUSG00000040699",219.463736760678,0.117471620672819,0.214480637916744,0.547702682227282,0.583896070104408,0.925964970294017
"8752","ENSMUSG00000041625",43.4963333924072,-0.180345551176417,0.325765815225705,-0.553604898818084,0.579849272670771,0.925964970294017
"8753","ENSMUSG00000041762",63.0301236605491,0.154684671188419,0.281629995909711,0.549247855111321,0.582835367184039,0.925964970294017
"8754","ENSMUSG00000042111",111.388257984665,-0.125696491592915,0.227895259732033,-0.551553778436259,0.581254111711444,0.925964970294017
"8755","ENSMUSG00000042249",297.441164880242,0.0971071089860053,0.1759277326207,0.551971582532516,0.580967823147232,0.925964970294017
"8756","ENSMUSG00000042396",255.757738701623,-0.0875981720812748,0.158915185537633,-0.551225937187297,0.581478801953283,0.925964970294017
"8757","ENSMUSG00000042508",142.978446190322,0.107907129684359,0.196122303125481,0.550203255645632,0.582179970820422,0.925964970294017
"8758","ENSMUSG00000043895",78.6743763301192,-0.143383993399016,0.260604407911182,-0.550197882485103,0.582183655798596,0.925964970294017
"8759","ENSMUSG00000046519",227.270785515028,-0.102100215153187,0.184971171653337,-0.551979069173751,0.580962693737806,0.925964970294017
"8760","ENSMUSG00000049076",297.274428408169,0.0915453893271426,0.167166938945108,0.547628555651205,0.583946977792317,0.925964970294017
"8761","ENSMUSG00000049112",28.2759052192447,0.617724445408108,1.12117934336321,0.550959531197849,0.581661416652741,0.925964970294017
"8762","ENSMUSG00000049321",21.4044289062637,-0.256978460050614,0.466981430124992,-0.550296957165582,0.582115710941605,0.925964970294017
"8763","ENSMUSG00000049532",19.8756308143196,0.249539022784738,0.456127007475053,0.547082322895311,0.584322176145501,0.925964970294017
"8764","ENSMUSG00000054008",623.786381579404,0.0748816455095666,0.136046809710423,0.550410889229617,0.582037581554,0.925964970294017
"8765","ENSMUSG00000054021",63.6478213307645,-0.148670188352826,0.271401181858163,-0.547787549541778,0.583837788569249,0.925964970294017
"8766","ENSMUSG00000054364",394.453235369161,-0.079966195109997,0.145953691417776,-0.547887445210981,0.583769189976635,0.925964970294017
"8767","ENSMUSG00000058385",7.43019763421758,-0.445488873492128,0.811804465450612,-0.548763763260219,0.583167581275534,0.925964970294017
"8768","ENSMUSG00000060012",392.073750810129,-0.0814906043863534,0.147150694331171,-0.553790145243584,0.579722473418907,0.925964970294017
"8769","ENSMUSG00000060733",134.017499885907,0.126494176864622,0.228389779400252,0.553852178485368,0.57968001521703,0.925964970294017
"8770","ENSMUSG00000062524",7.11407180967425,-0.422372398943863,0.767147027788359,-0.550575552852676,0.581924671445937,0.925964970294017
"8771","ENSMUSG00000063684",125.10701059762,-0.126986036436888,0.229591092535293,-0.553096529288773,0.580197313130482,0.925964970294017
"8772","ENSMUSG00000063808",69.6271979510239,-0.143099035510256,0.261135938088838,-0.547986755701065,0.583700996949388,0.925964970294017
"8773","ENSMUSG00000070372",218.22707774339,0.267943373461068,0.488843905273775,0.548116424425927,0.583611963574163,0.925964970294017
"8774","ENSMUSG00000071659",883.799736643631,0.0707189084500276,0.128963845854411,0.548362279222528,0.583443171680768,0.925964970294017
"8775","ENSMUSG00000073791",15.4851227757204,0.288949449524774,0.522077871641039,0.553460441861908,0.579948160979662,0.925964970294017
"8776","ENSMUSG00000075327",76.5530592536477,-0.136716363730084,0.24753287891308,-0.552315976489295,0.580731886460472,0.925964970294017
"8777","ENSMUSG00000079227",15.1250769242616,0.302820895376817,0.550600268758376,0.549983195721442,0.582330899478094,0.925964970294017
"8778","ENSMUSG00000090115",21.0683893894647,0.256955025272911,0.464011968086342,0.553768098552789,0.579737563467647,0.925964970294017
"8779","ENSMUSG00000090215",7.97073022019271,-0.416344787041783,0.758572744012908,-0.548852816460669,0.583106460775463,0.925964970294017
"8780","ENSMUSG00000098912",8.33199706740749,-0.382045414607768,0.69791965041884,-0.54740601497392,0.584099823804952,0.925964970294017
"8781","ENSMUSG00000106978",32.8504119416728,-0.210510524087107,0.38053956910137,-0.553189579165762,0.580133601910242,0.925964970294017
"8782","ENSMUSG00000113585",11.9634288298532,0.337181184935204,0.611347556176297,0.551537634409009,0.581265175278534,0.925964970294017
"8783","ENSMUSG00000026843",306.45271412209,-0.0865253224355734,0.158365318400652,-0.546365348861745,0.584814824075274,0.926268716839953
"8784","ENSMUSG00000026999",85.4002738870945,-0.131561046492834,0.241131079307745,-0.545599708136042,0.585341125028065,0.926268716839953
"8785","ENSMUSG00000029859",75.1600120467868,0.141496042746784,0.259011297743403,0.5462929377195,0.584864590027839,0.926268716839953
"8786","ENSMUSG00000037415",135.095338115528,-0.117325449298662,0.214686342990852,-0.546497032201354,0.584724327209116,0.926268716839953
"8787","ENSMUSG00000038456",29.2619001139864,-0.224295880280545,0.410870840923134,-0.54590362211298,0.585132188419966,0.926268716839953
"8788","ENSMUSG00000042303",242.265300609102,-0.0930778031163189,0.170588436265674,-0.545627858217539,0.585321770784582,0.926268716839953
"8789","ENSMUSG00000049037",15.3025459918635,-0.284036276975646,0.520572526123492,-0.545622872360855,0.585325198727569,0.926268716839953
"8790","ENSMUSG00000054252",8.64801866182902,-0.383087294709699,0.70138986983978,-0.546183101842073,0.58494008060843,0.926268716839953
"8791","ENSMUSG00000073639",548.9664563089,0.0785438293762795,0.143833377926493,0.546075121842858,0.585014300052191,0.926268716839953
"8792","ENSMUSG00000074665",19.1932941479366,0.280998496236331,0.514613043060427,0.546038426397474,0.585039523456109,0.926268716839953
"8793","ENSMUSG00000104814",10.6395295546708,-0.350303304757039,0.641861022934905,-0.545761920789767,0.585229601785498,0.926268716839953
"8794","ENSMUSG00000110744",6.54738313036644,-0.447130346765743,0.819252722719298,-0.545778285950163,0.585218351079821,0.926268716839953
