Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000000320,75.452489614289,0.010113471075448797,0.29178435815408327,0.03466077187766231,0.9723502416250418,0.9964683433993874
ENSMUSG00000000325,1.172302092854829,-1.2238126856869391,2.1405309684391582,-0.5717332305541575,0.5675027179398237,
ENSMUSG00000000326,7.51592646108739,-0.4017061368257447,0.7964729211839937,-0.5043563015658963,0.6140110198810889,0.9342732006539638
ENSMUSG00000000339,38.19285625132151,0.2879829189490362,0.3472359378172956,0.8293580461725237,0.40690183395267177,0.8714069538295567
ENSMUSG00000000340,368.1137848129352,0.10265448540966458,0.17246528526595892,0.5952182507416549,0.5516975922337392,0.922618121444701
ENSMUSG00000000346,795.4111725620731,-0.15210333513042393,0.14209706074715892,-1.0704185880457424,0.2844309361085854,0.8188235348316109
ENSMUSG00000000355,118.14832861625688,-0.28719850446400763,0.2102234334530542,-1.3661583760981766,0.17188925891116513,0.7197071725469505
ENSMUSG00000000359,9.328583963943322,-0.2050867722500262,0.6617635464836352,-0.309909443244163,0.7566298214528138,0.9654422744931347
ENSMUSG00000000365,1.2737275380178208,0.8076094952591847,1.732828462875127,0.4660643061686502,0.6411694715727907,
ENSMUSG00000000374,298.0171505897611,0.18324359981785646,0.16465955098466797,1.112863473282026,0.26576706968814634,0.8122756624142148
ENSMUSG00000000378,110.80750518236437,0.2416206345883014,0.2215090730265223,1.090793398604359,0.27536380187705534,0.8146647161496229
ENSMUSG00000000381,0.2650806376720625,-1.489589224026887,4.34477868924377,-0.34284582266862423,0.7317144513205842,
ENSMUSG00000000384,136.0543155555208,-0.054123840911815775,0.21468642304361438,-0.25210649161926885,0.8009587524094498,0.9734634677247966
ENSMUSG00000000385,532.0217597824955,-0.17273076786862265,0.15191592649864355,-1.1370155312199275,0.25553179303394347,0.8038482099847839
ENSMUSG00000000386,4.3731742606886685,-0.14920166178558542,1.0296615830126454,-0.14490359186660365,0.8847869904704236,
ENSMUSG00000000392,57.429267824276415,-0.034346925699978,0.28359829269642034,-0.12111118643702448,0.9036029689052176,0.9898938030663382
ENSMUSG00000000394,0.0,,,,,
ENSMUSG00000000399,287.9652741423932,0.03800103728780772,0.17365476962456577,0.21883094469541114,0.826781740648719,0.9786458326233927
