Ensembl,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSMUSG00000035778,145.29929276435251,1.0905034397934694,0.20240946257795486,5.387610963956188,7.140039385215858e-08,6.799255292983845e-05
ENSMUSG00000035896,480.14341655404286,-1.2378436064012903,0.1460524299565515,-8.475337293392045,2.3439940838431775e-17,6.45911009743826e-14
ENSMUSG00000037922,28.389982437893114,2.3270998456417518,0.4836709656221311,4.811328384469957,1.499304415438622e-06,0.0006663682656746237
ENSMUSG00000037940,41.536979267712496,1.700718836164136,0.3644364838489147,4.6667084980141755,3.0606305775981554e-06,0.0011694461551432804
ENSMUSG00000038508,98.39027044272694,3.101914605411902,0.2997716291044626,10.347592314451363,4.291421098620248e-25,2.9563599948394892e-21
ENSMUSG00000038550,23.490801707673484,-2.1533414596373825,0.5158587036944973,-4.174285408418036,2.989228255123338e-05,0.0062402404392559625
ENSMUSG00000039158,74.02233573417985,1.1948207812686982,0.28815091118052133,4.146510508586123,3.3758069302857525e-05,0.0066688335719518824
ENSMUSG00000039936,73.84052622108854,1.4443958586808712,0.2760679212263826,5.232030770776988,1.6765783221829638e-07,0.00013588174190021693
ENSMUSG00000040918,43.23978136317012,1.6500847010815194,0.33639247584232906,4.905236649392041,9.331476416210433e-07,0.0004944964694713359
ENSMUSG00000041515,71.8729372564609,1.5691050993528408,0.29985210503444654,5.232930077888179,1.6684386589840914e-07,0.00013588174190021693
ENSMUSG00000041538,19.305319866073365,2.0645800409821486,0.565816232781698,3.6488526156843233,0.0002634141639032951,0.027084480225817907
ENSMUSG00000041801,90.61764660883352,1.2779217652500265,0.2502889902932009,5.105784971816003,3.294241241825729e-07,0.00021448438049559345
ENSMUSG00000041859,44.36642356267322,1.3880254785295294,0.37736715653764213,3.6781830492741214,0.00023490135791764613,0.025596982025218807
ENSMUSG00000042351,27.142848644742998,1.904427453819347,0.45414747786516,4.193411934756548,2.7478978426578026e-05,0.005915708824396751
ENSMUSG00000042487,41.68247952129489,1.5508961696589738,0.3897995439229189,3.978701858013607,6.929256698985169e-05,0.010973712505588236
ENSMUSG00000048251,29.1581533724796,1.6400254134630678,0.44938142305779405,3.649517602004094,0.00026273323721819856,0.027084480225817907
ENSMUSG00000048458,14.869709354745547,3.002896308148244,0.6861825417588834,4.37623536799837,1.207466279871848e-05,0.0035396745540583665
ENSMUSG00000049538,133.46142153693933,1.1800623043871497,0.22625951995843768,5.215525537241124,1.8329680398157135e-07,0.00014030352029211613
ENSMUSG00000050592,34.121611594051274,1.712734480568842,0.46632067826681267,3.6728683937727378,0.0002398430222175618,0.025616722171422995
ENSMUSG00000051457,48.77760247265198,1.521979538401374,0.4112689510352943,3.700691565872087,0.00021501269096459844,0.024483015339754027
ENSMUSG00000051506,58.51482097321772,1.48624538242535,0.2927127951430925,5.077486898715172,3.8245986995321943e-07,0.0002259468304064138
ENSMUSG00000053044,18.023794272354817,2.803793114388149,0.6207831335590086,4.516542030247725,6.285764556120887e-06,0.002112323513517892
ENSMUSG00000055116,21.429445132954246,2.413614549840656,0.5980191794279788,4.036015286582184,5.43666753455878e-05,0.00936330066139386
ENSMUSG00000055675,62.083487030424685,1.2304981057015032,0.3188902347009781,3.8586885761971845,0.00011399708942456752,0.01539854802050678
ENSMUSG00000055805,81.95803800181336,1.2493495225699065,0.28530099855030877,4.379057658116123,1.1919359590073149e-05,0.0035396745540583665
ENSMUSG00000056569,132.59872972636433,-1.1773953764141287,0.2963746617801832,-3.9726586926900853,7.107485433529781e-05,0.011128060716269695
ENSMUSG00000056749,41.58033999152966,1.940619088934872,0.45755433236358994,4.24128666624182,2.2224206718360094e-05,0.005314795595664241
ENSMUSG00000059994,12.412460252958843,3.1680384575390454,0.7642443557581879,4.1453213670071705,3.39337454737376e-05,0.0066688335719518824
ENSMUSG00000061100,377.9557320968645,-1.4583139935846265,0.16496569739471093,-8.840104437562804,9.562917032873932e-19,3.293946771973426e-15
ENSMUSG00000062585,18.231137193459798,2.541500810724244,0.5637844064577455,4.5079303038771155,6.54630711492857e-06,0.0021475004626068054
ENSMUSG00000066443,15.614534566424206,-2.097229104434368,0.6008914180827287,-3.4901964669857013,0.00048266556569436533,0.04208965926668966
ENSMUSG00000066687,117.06493754540615,-1.4456420799207106,0.3144067651082841,-4.597999281035891,4.265674667833057e-06,0.001506986296753945
ENSMUSG00000066704,74.62365395978263,-1.0361275194280262,0.301767043314331,-3.4335343848292927,0.0005957666336921581,0.04857084425450031
ENSMUSG00000067147,603.0211751145674,-5.419315836316624,1.343723678188734,-4.033058227880277,5.505563067938164e-05,0.009364894808648397
ENSMUSG00000068105,9.807954185738351,3.0219894578248527,0.8180998914273155,3.693912552112033,0.00022082977177654463,0.024736525166969364
ENSMUSG00000068227,19.268389563546094,1.9797639147818533,0.519238182784496,3.8128242113572224,0.00013738783166535024,0.01705341932148825
ENSMUSG00000068744,13.93980622239757,2.265203961942556,0.6489674752330695,3.4904737885809034,0.00048216490824355403,0.04208965926668966
ENSMUSG00000069515,55.707969438068595,-1.1986416846693306,0.3422093285626267,-3.5026563703098197,0.0004606433127427262,0.042031414324299875
ENSMUSG00000071005,10.346688926835162,4.024774087978648,1.0833437987618793,3.715140191487172,0.0002030910653275616,0.023514190740194486
ENSMUSG00000073902,38.17571738212979,1.3426441560659559,0.3843784018354531,3.4930270526508997,0.00047757812465744614,0.04208965926668966
ENSMUSG00000074934,14.336411606369518,3.2344757854753547,0.7005880662931205,4.616801143344162,3.897003648278487e-06,0.0014129714806837103
ENSMUSG00000076617,226.93569128111645,1.0917289581298055,0.24628159577161973,4.432848320270674,9.299629155383201e-06,0.0028763388086236476
ENSMUSG00000076928,33.219153672255004,1.8237151576935338,0.45694825252810783,3.9910758988652733,6.577422461028476e-05,0.01063484595194309
ENSMUSG00000078757,114.83105305740715,-1.103823407780892,0.32167040660119517,-3.431535463408062,0.0006001746530550324,0.048627994802587005
ENSMUSG00000082419,19.091727553695566,-2.4050806686202555,0.6856953088038722,-3.50750637745456,0.0004523275116863605,0.0415477897067645
ENSMUSG00000082920,21.637151065801103,2.1832509821004,0.5940733913298561,3.6750526348488837,0.00023780038461518416,0.025596982025218807
ENSMUSG00000086914,31.55168717491166,-1.6893874795450747,0.40621531596627386,-4.158847323436068,3.198575941061668e-05,0.006480879311168774
ENSMUSG00000090747,40.55074997695491,1.537461398260255,0.3646298122572442,4.216499437450235,2.4812390608504965e-05,0.005513953512967442
ENSMUSG00000096215,26.905726289825775,-1.751719506615504,0.428657218388131,-4.086527489732824,4.378776252065029e-05,0.00793826042117789
ENSMUSG00000096345,28.026482359516198,2.0963425760239494,0.5477863183459608,3.826934893799191,0.00012974881478630692,0.016443139670697996
ENSMUSG00000102813,14.099568292890721,3.565236560612927,0.7511894753241258,4.74612155485084,2.073541303094836e-06,0.0008657349113345652
